"Year","Fourseam","Change","Slider","pfx_var","mlbam_id","Sinker","Curve","Split","Cutter","Knuckler","Slow Curve","Screwball"
"2014","6.29","3.87","4.53","bway",432934,NA,"4.55",NA,NA,NA,NA,NA
"2015","5.37","2.50","3.81","bway",432934,NA,"16.67",NA,NA,NA,NA,NA
"2008","0.46","-0.55","-0.75","vloc",432934,NA,"-0.49",NA,NA,NA,NA,NA
"2009","0.35","-0.08","-0.56","vloc",432934,NA,"-0.66",NA,NA,NA,NA,NA
"2010","0.62","-0.09","-0.74","vloc",432934,NA,"-1.25",NA,NA,NA,NA,NA
"2011","0.37","-0.53","-0.24","vloc",432934,NA,"-0.42",NA,NA,NA,NA,NA
"2012","0.54","-1.19","-0.48","vloc",432934,NA,"-1.08",NA,NA,NA,NA,NA
"2014","0.43","-0.39","-0.31","vloc",432934,NA,"-0.44",NA,NA,NA,NA,NA
"2015","0.30","-0.60","-0.96","vloc",432934,NA,"-0.68",NA,NA,NA,NA,NA
"2008","0.49","0.86","0.34","hloc",432934,NA,"0.34",NA,NA,NA,NA,NA
"2009","0.51","0.93","0.51","hloc",432934,NA,"0.63",NA,NA,NA,NA,NA
"2010","0.28","0.66","0.41","hloc",432934,NA,"0.68",NA,NA,NA,NA,NA
"2011","0.42","0.92","0.44","hloc",432934,NA,"0.44",NA,NA,NA,NA,NA
"2012","0.43","0.65","0.59","hloc",432934,NA,"0.75",NA,NA,NA,NA,NA
"2014","0.43","0.46","0.49","hloc",432934,NA,"0.37",NA,NA,NA,NA,NA
"2015","0.37","0.63","0.29","hloc",432934,NA,"0.24",NA,NA,NA,NA,NA
"2008","12.72","11.48","3.46","pfx_z",432934,NA,"-7.76",NA,NA,NA,NA,NA
"2009","12.76","11.42","3.57","pfx_z",432934,NA,"-6.70",NA,NA,NA,NA,NA
"2010","13.03","10.64","3.58","pfx_z",432934,NA,"-5.14",NA,NA,NA,NA,NA
"2011","12.25","7.91","2.57","pfx_z",432934,NA,"-9.50",NA,NA,NA,NA,NA
"2012","11.66","9.43","1.90","pfx_z",432934,NA,"-8.32",NA,NA,NA,NA,NA
"2014","12.22","10.37","3.41","pfx_z",432934,NA,"-6.35",NA,NA,NA,NA,NA
"2015","12.11","9.54","4.87","pfx_z",432934,NA,"-8.48",NA,NA,NA,NA,NA
"2008","-1.94","-4.74","1.23","pfx_x",432934,NA,"1.87",NA,NA,NA,NA,NA
"2009","-2.15","-3.61","2.12","pfx_x",432934,NA,"0.10",NA,NA,NA,NA,NA
"2010","-3.34","-5.90","0.69","pfx_x",432934,NA,"-2.71",NA,NA,NA,NA,NA
"2011","-3.03","-3.44","2.30","pfx_x",432934,NA,"1.00",NA,NA,NA,NA,NA
"2012","-2.08","-4.56","2.89","pfx_x",432934,NA,"2.14",NA,NA,NA,NA,NA
"2014","-1.97","-4.52","3.22","pfx_x",432934,NA,"1.99",NA,NA,NA,NA,NA
"2015","-1.84","-2.84","3.02","pfx_x",432934,NA,"1.75",NA,NA,NA,NA,NA
"2008","92.04","81.91","81.84","maxmph",432934,NA,"72.24",NA,NA,NA,NA,NA
"2009","90.76","80.64","82.96","maxmph",432934,NA,"70.97",NA,NA,NA,NA,NA
"2010","88.67","77.87","79.63","maxmph",432934,NA,"69.95",NA,NA,NA,NA,NA
"2011","90.98","82.95","80.19","maxmph",432934,NA,"69.06",NA,NA,NA,NA,NA
"2012","88.93","81.84","82.01","maxmph",432934,NA,"71.06",NA,NA,NA,NA,NA
"2014","90.04","83.94","82.98","maxmph",432934,NA,"72.41",NA,NA,NA,NA,NA
"2015","90.48","83.05","83.97","maxmph",432934,NA,"72.04",NA,NA,NA,NA,NA
"2008","87.28","79.23","78.32","mph",432934,NA,"70.02",NA,NA,NA,NA,NA
"2009","86.19","77.46","76.91","mph",432934,NA,"68.70",NA,NA,NA,NA,NA
"2010","85.58","76.77","76.27","mph",432934,NA,"69.06",NA,NA,NA,NA,NA
"2011","85.77","80.02","76.35","mph",432934,NA,"67.77",NA,NA,NA,NA,NA
"2012","85.52","78.78","76.81","mph",432934,NA,"68.65",NA,NA,NA,NA,NA
"2014","86.06","79.17","78.59","mph",432934,NA,"70.16",NA,NA,NA,NA,NA
"2015","87.23","79.72","80.82","mph",432934,NA,"71.57",NA,NA,NA,NA,NA
"2011","7.02","0.00","4.00","bway",489446,NA,"0.00",NA,NA,NA,NA,NA
"2012","8.33","0.00","0.00","bway",489446,NA,"0.00",NA,NA,NA,NA,NA
"2014","6.34","6.06","5.00","bway",489446,NA,"4.76",NA,NA,NA,NA,NA
"2015","5.24","0.00","5.33","bway",489446,NA,"0.00",NA,NA,NA,NA,NA
"2011","-0.02","-2.97","0.04","vloc",489446,NA,"-0.90",NA,NA,NA,NA,NA
"2012","-0.07","-0.22","1.38","vloc",489446,NA,"0.00",NA,NA,NA,NA,NA
"2014","-0.21","-0.35","-0.74","vloc",489446,NA,"-0.83",NA,NA,NA,NA,NA
"2015","-0.19","-1.07","-0.50","vloc",489446,NA,"-1.15",NA,NA,NA,NA,NA
"2011","0.49","0.65","0.56","hloc",489446,NA,"1.00",NA,NA,NA,NA,NA
"2012","0.56","0.45","0.72","hloc",489446,NA,"0.00",NA,NA,NA,NA,NA
"2014","0.26","0.79","0.40","hloc",489446,NA,"0.56",NA,NA,NA,NA,NA
"2015","0.42","0.83","0.35","hloc",489446,NA,"0.22",NA,NA,NA,NA,NA
"2011","9.61","6.08","1.33","pfx_z",489446,NA,"-8.38",NA,NA,NA,NA,NA
"2012","10.65","4.25","0.78","pfx_z",489446,NA,"0.00",NA,NA,NA,NA,NA
"2014","8.90","5.78","1.58","pfx_z",489446,NA,"-7.39",NA,NA,NA,NA,NA
"2015","7.97","4.53","2.58","pfx_z",489446,NA,"-7.04",NA,NA,NA,NA,NA
"2011","-5.30","-7.46","3.00","pfx_x",489446,NA,"7.99",NA,NA,NA,NA,NA
